"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in local currency, unless specified"
"Definitions:"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","promotional rebates","selling fees","fba fees","other transaction fees","other","total"
"28 Feb 2025 11:40:33 PM UTC","24361783402","Order","405-2692038-9717915","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Fujairah","","","53.99","9.00","0","-5.40","-19.50","0","0","38.09"
"1 Mar 2025 12:15:19 AM UTC","24361783402","Order","405-8013827-5217934","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","Dubai","","","81.89","0","0","-8.19","-11.03","0","0","62.67"
"1 Mar 2025 12:42:30 AM UTC","24361783402","Order","407-4736560-8367560","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Abu Dhabi","","","53.99","0","0","-5.40","-10.50","0","0","38.09"
"1 Mar 2025 5:13:37 PM UTC","24361783402","Order","406-7267534-4684326","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","العين","","","81.89","3.34","-3.34","-8.19","-11.03","0","0","62.67"
"1 Mar 2025 9:13:47 PM UTC","24361783402","Order","408-4407816-3501967","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","2","amazon.ae","Amazon","Dubai","","","163.78","0","0","-49.14","-22.05","0","0","92.59"
"1 Mar 2025 9:13:47 PM UTC","24361783402","Order","408-4407816-3501967","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","4","amazon.ae","Amazon","Dubai","","","327.56","0","0","0","-44.10","0","0","283.46"
"1 Mar 2025 9:36:41 PM UTC","24361783402","Refund","405-1995637-6874737","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","Dubai","","","-81.89","0","0","6.55","0","0","0","-75.34"
"1 Mar 2025 9:42:36 PM UTC","24361783402","Order","171-6760076-2420308","H1-TUMM-Y2MI","GEEEKART Electric Nail Clipper 2-in-1 with 3 Speeds Nail Clipper Electric With LED Light Type-C Charging Ultra Lightweight Low Noise Easy Elderly Chil","1","amazon.ae","Amazon","Dubai","","","75.05","0","0","-6.00","-9.45","0","0","59.60"
"1 Mar 2025 9:48:34 PM UTC","24361783402","Order","405-1995637-6874737","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","2","amazon.ae","Amazon","Dubai","","","163.78","0","0","-24.57","-22.05","0","0","117.16"
"1 Mar 2025 9:48:34 PM UTC","24361783402","Order","405-1995637-6874737","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","Dubai","","","81.89","0","0","0","-11.03","0","0","70.86"
"1 Mar 2025 10:13:00 PM UTC","24361783402","Order","402-7755805-8758756","H1-TUMM-Y2MI","GEEEKART Electric Nail Clipper 2-in-1 with 3 Speeds Nail Clipper Electric With LED Light Type-C Charging Ultra Lightweight Low Noise Easy Elderly Chil","1","amazon.ae","Amazon","Abu Dhabi","","","75.05","10.00","0","-6.00","-19.45","0","0","59.60"
"1 Mar 2025 10:19:10 PM UTC","24361783402","Order","405-1078298-3484303","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","53.99","3.33","-3.33","-5.40","-13.83","0","3.33","38.09"
"2 Mar 2025 5:34:36 AM UTC","24361783402","Service Fee","","","Cost of Advertising","","","","","","","0","0","0","0","0","-1,841.15","0","-1,841.15"
"2 Mar 2025 9:23:15 PM UTC","24361783402","Order","408-7551561-6656352","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","1.00","-1.00","-4.60","-9.45","0","0","31.94"
"2 Mar 2025 9:40:33 PM UTC","24361783402","Order","405-2326241-9108318","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","0.75","-0.75","-4.60","-9.45","0","0","31.94"
"2 Mar 2025 10:02:06 PM UTC","24361783402","Order","408-0376240-4687553","21-I1N0-CUS8","GEEEKART Epoxy Resin Beginner's Kit, 36oz/1064ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorat","1","amazon.ae","Amazon","Dubai","","","81.89","0","0","-8.19","-11.03","0","0","62.67"
"2 Mar 2025 10:15:31 PM UTC","24361783402","Order","404-5875588-2325935","Y1-W3R5-BXO4","GEEEKART 300g UV Resin, Upgraded UV Resin Kit with Fast Curing Crystal Clear High Gloss Odourless Transparent Solar Cure Sunlight Activated Resin for","1","amazon.ae","Amazon","Dubai","","","45.99","5.00","0","-4.60","-14.45","0","0","31.94"
"2 Mar 2025 10:52:09 PM UTC","24361783402","Order","407-7399010-0936325","G8-NOGZ-0KSP","GEEEKART Epoxy Resin Beginner's Kit, 18oz/532ml Non Toxic Epoxy Resin Clear Casting Resin Set, 1:1 Ratio Epoxy Resin for Wood, Jewellery Art, Decorati","1","amazon.ae","Amazon","Dubai","","","53.99","0","0","-5.40","-10.50","0","0","38.09"
