"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 2, 2025 3:20:47 a.m. PST","23008402791","Order","701-9656608-5446658","52-3L6N-882S","YOBTOP Epoxy Resin, 32oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","St. Albert","Alberta","T8N 0E","Combined TCS+MTC","28.49","1.28","0","0","0","0","0","0","-2.85","0","-1.28","-3.85","-8.84","-0.08","0","12.87"
"Mar 2, 2025 3:47:35 a.m. PST","23008402791","Order","702-0144265-3281800","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","2","amazon.ca","Amazon","Edmonton","Alberta","T6M 2P","Combined TCS+MTC","35.70","1.78","7.85","0","0","0","0","0","-7.85","0","-1.78","-5.36","-15.42","-0.11","0","14.81"
"Mar 2, 2025 4:31:26 a.m. PST","23008402791","Order","701-8625117-7529046","52-3L6N-882S","YOBTOP Epoxy Resin, 32oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","2","amazon.ca","Amazon","Coquitlam","British Columbia","V3B 5Z","Combined TCS+MTC","56.98","6.16","0","0","0","0","0","0","-5.70","0","-6.16","-7.70","-17.68","-0.15","0","25.75"
"Mar 2, 2025 6:18:12 a.m. PST","23008402791","Service Fee","","","Cost of advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-442.91","0","-442.91"
"Mar 2, 2025 7:00:37 a.m. PST","23008402791","Order","701-4513010-7565856","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Saint-Leonard-D'Aston","Quebec","J0C 1M","Combined TCS+MTC","17.85","2.67","0","0","0","0","0","0","0","0","-2.67","-2.68","-7.71","-0.05","0","7.41"
"Mar 2, 2025 8:16:26 a.m. PST","23008402791","Order","701-2573796-2677865","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Sarnia","Ontario","N7T 6C","Combined TCS+MTC","18.04","2.35","0","0","0","0","0","0","0","0","-2.35","-2.71","-7.71","-0.05","0","7.57"
"Mar 2, 2025 9:45:25 a.m. PST","23008402791","Order","701-5076628-2133052","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Churchill","Ontario","L0L 1K","Combined TCS+MTC","18.04","2.35","0","0","0","0","0","0","0","0","-2.35","-2.71","-7.71","-0.05","0","7.57"
"Mar 2, 2025 3:32:20 p.m. PST","23008402791","Service Fee","eeb2382b-ed7c-488e-bff6-1fb2b4e0044e","","Coupon Redemption Fee: Save 10% on 32oz Epoxy Resin Kit","3","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.80","0","-1.80"
"Mar 2, 2025 7:15:43 p.m. PST","23008402791","Refund","701-8625117-7529046","52-3L6N-882S","YOBTOP Epoxy Resin, 32oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","2","amazon.ca","Amazon","Coquitlam","British Columbia","V3B 5Z","Combined TCS+MTC","-56.98","-6.16","0","0","0","0","0","0","5.70","0","6.16","6.16","0","0.15","0","-44.97"
"Mar 2, 2025 10:29:58 p.m. PST","23008402791","Order","701-1848534-8141037","52-3L6N-882S","YOBTOP Epoxy Resin, 32oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Carignan","Quebec","J3L 0J","Combined TCS+MTC","28.49","3.84","0","0","0","0","0","0","-2.85","0","-3.84","-3.85","-8.84","-0.08","0","12.87"
"Mar 2, 2025 10:57:29 p.m. PST","23008402791","Order","702-7228198-1734612","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Ayers Cliff","Quebec","J0B 1C","Combined TCS+MTC","17.85","2.67","0","0","0","0","0","0","0","0","-2.67","-2.68","-7.71","-0.05","0","7.41"
"Mar 2, 2025 10:59:18 p.m. PST","23008402791","Refund","702-8924400-2609846","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Sydney","Nova Scotia","B1P 5G","Combined TCS+MTC","-17.85","-2.68","-4.04","-0.61","0","0","0","0","0","0","3.29","2.14","4.04","0.05","0","-15.66"
"Mar 3, 2025 1:16:30 a.m. PST","23008402791","Order","702-8924400-2609846","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Sydney","Nova Scotia","B1P 5G","Combined TCS+MTC","17.85","2.68","4.04","0.61","0","0","0","0","0","0","-3.29","-2.68","-11.75","-0.05","0","7.41"
"Mar 3, 2025 4:33:48 a.m. PST","23008402791","Order","702-1182920-9616251","7K-0O9G-VJ3D","YOBTOP Epoxy Resin, 16oz Epoxy Resin Kit with Bubble Free Self Leveling High Gloss Not Yellowing Crystal Clear Epoxy Resin for Art Resin, DIY, Jewelry","1","amazon.ca","Amazon","Calgary","Alberta","T3J 4Z","Combined TCS+MTC","18.04","0.90","0","0","0","0","0","0","0","0","-0.90","-2.71","-7.71","-0.05","0","7.57"
