"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 2, 2025 4:52:22 AM PST","22895720211","Order","111-6427966-7095417","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","Providence","RI","02903","MarketplaceFacilitator","19.69","0","0","0","0","0","0","0","0","0","0","-2.95","-7.48","0","0","9.26"
"Mar 2, 2025 5:06:41 AM PST","22895720211","Order","112-9469926-1514622","GG-4TFN-ZDD4","UV Resin 2000g, Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making, DIY Craf","1","amazon.com","Amazon","BROOKLYN","NY","11205","MarketplaceFacilitator","55.24","0","2.99","0","0","0","0","0","-2.99","0","0","-6.63","-7.64","0","0","40.97"
"Mar 5, 2025 6:25:58 AM PST","23117856491","Transfer","","","To your account ending in: 278, Bank Transfer ID: 5IJTIBSBPF0DLNH","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-50.23","-50.23"
"Mar 13, 2025 2:21:34 PM PDT","23117856491","Order","114-6191969-2306658","GG-4TFN-ZDD4","UV Resin 2000g, Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making, DIY Craf","1","amazon.com","Amazon","SALAMANCA","NY","14779","MarketplaceFacilitator","55.24","0","0","0","0","0","0","0","0","0","0","-6.63","-7.64","0","0","40.97"
"Mar 18, 2025 1:26:24 AM PDT","23165198181","Order","112-0804469-3691462","EPR-US-AB-10","Crystal Clear Epoxy Resin - 64oz Epoxy Resin Kit, Not Yellowing High Gloss Bubbles Free Easy Mix 1:1 Ratio for Coating and Casting, Jewelry, Craft DIY","1","amazon.com","Amazon","MADISON HEIGHTS","MI","48071","MarketplaceFacilitator","19.69","0","0","0","0","0","0","0","0","0","0","-2.95","-7.48","0","0","9.26"
"Mar 19, 2025 6:51:50 AM PDT","23165198181","Transfer","","","To your account ending in: 278, Bank Transfer ID: 10WH7HT9K5QTR86","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-40.97","-40.97"
"Mar 20, 2025 2:55:20 AM PDT","23165198181","Order","112-1372908-5233062","W9-CRML-LGXB","UV Resin 500g - Upgraded UV Resin, Crystal Clear Ultraviolet Curing UV Epoxy Resin, Transparent Solar Cure Sunlight Activated Resin for Jewelry Making","1","amazon.com","Amazon","ASHEVILLE","NC","28806","MarketplaceFacilitator","21.24","1.49","0","0","0","0","0","0","0","0","-1.49","-3.19","-5.37","0","0","12.68"
"Mar 20, 2025 7:21:33 AM PDT","23165198181","Order","113-0887414-9547438","GG-4TFN-ZDD4","UV Resin 2000g, Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making, DIY Craf","1","amazon.com","Amazon","Islamorada","FL","33036","MarketplaceFacilitator","48.87","3.67","0","0","0","0","0","0","0","0","-3.67","-5.86","-7.64","0","0","35.37"
"Mar 29, 2025 4:46:45 AM PDT","23165198181","Order","111-3615135-7263440","EPR-US-UV-3","UV Resin 1000g, Upgrade Crystal Clear Hard Ultraviolet Epoxy Resin Glue, Low Odor Transparent Solar Cure Sunlight Activated Resin for Jewelry Making,","1","amazon.com","Amazon","Cumberland Furnace","Tennessee","37051","MarketplaceFacilitator","34.99","3.41","0","0","0","0","0","0","0","0","-3.41","-5.25","-6.21","0","0","23.53"
