"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Mar 2, 2025 7:38:49 a.m. PST","22960368971","Service Fee","","","Cost of advertising","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-70.63","0","-70.63"
"Mar 3, 2025 3:23:28 a.m. PST","22960368971","Service Fee","","","Subscription","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-12.86","-12.86"
"Mar 5, 2025 8:04:17 a.m. PST","23077125181","Transfer","","","To account ending with: 978","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-170.08","-170.08"
"Mar 16, 2025 10:16:51 p.m. PDT","23077125181","Refund","702-2226765-9493026","NX-22LX-ZGH5","1 Gallon Epoxy Resin Non Toxic Resin Crystal Clear Epoxy Kit UV Resistant No Bubble Self Leveling, 64OZ Resin and 64OZ Hardener Kit for DIY Art, Jewel","1","amazon.ca","Amazon","RM of Dundurn","Saskatchewan","S7C 0C","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mar 19, 2025 8:11:11 a.m. PDT","23165586821","Transfer","","","To account ending with: 978","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-37.09","-37.09"
